"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306071.602939952","300568.784434067","296542.457974803","302708.31136768","308733.803870312","326720.049377337","337106.755255419","353448.773191011","362010.787495916","347984.724249356","353940.036306866","392068.069563955","403898.487455978","429053.16414334","460995.292451803","462459.056021494","470579.936099916","493839.740768979","526904.756199397","509179.180917111","536950.585629742","528849.757107069","552280","573190","594270","578990","584830","593740","592780","","","",
"Afganistán","AFG","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2960","2740","1430","1360","1300","1250","1180","1100","1050","820","770","810","1100","1350","1130","1640","1940","2360","4390","6000","8670","12260","10450","8510","7810","7990","7390","7380","7440","","","",
"","AFW","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90210","99880","111590","115080","112220","113980","121890","120450","116930","118000","119510","130120","133840","137380","141040","155650","153210","153350","157600","145550","165750","179070","181740","191990","198440","193060","195120","201900","224380","","","",
"Angola","AGO","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6330","6530","6370","6900","6690","10780","11410","11730","11370","12650","12370","12910","13620","18010","19290","18210","20340","23490","25080","27150","28530","29460","30250","32820","34630","35160","35410","30840","27340","","","",
"Albania","ALB","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6050","4110","2240","2070","2140","1950","1970","1480","1800","2970","3170","3220","3750","4110","4290","4070","4050","4220","4170","4320","4580","5040","4580","4790","5220","5070","4930","5600","5560","","","",
"Andorra","AND","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","410","410","410","410","430","450","470","490","510","520","520","530","530","560","580","550","540","540","520","520","490","490","480","460","470","470","470","460","","","",
"El mundo árabe","ARB","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","640142.203183499","667269.089016977","690412.939333193","738501.052484791","778421.931191901","801314.327245664","829014.528797536","852218.72813674","857147.231680828","866762.842677048","894473.102399418","948193.791029974","987782.750110645","1013773.06267783","1071185.09988121","1168467.7249392","1227680.17466174","1284478.66346472","1387303.34046719","1455678.78351353","1536124.03115764","1567083.07995091","1678497.43455878","1709355.90164707","1787075.38508618","1831572.73136995","1849355.57681065","1868204.58832416","1866384.059464","","","",
"Emiratos Árabes Unidos","ARE","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55400","61500","59640","62150","68290","72640","75810","81450","83850","86000","84540","96260","98120","103530","109980","116280","121460","131690","156200","157180","162820","166320","175730","184100","183840","194040","199460","208250","200300","","","",
"Argentina","ARG","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99840","105320","107350","111030","113810","113810","126560","127320","133170","134190","131910","124870","117470","128360","141850","146320","155370","163630","168150","157440","168140","177260","178530","184000","179910","186090","184280","180120","177410","","","",
