"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330740","331400","337860","338280","344760","350310","352330","357750","374740","377590","377850","382600","405520","417940","426540","443630","444700","472630","491160","496350","515480","523850","534240","538060","543720","554570","563050","564380","570040","","","",
"Afganistán","AFG","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8970","9070","8990","8890","8960","9140","9930","10600","11100","11870","10590","9360","11190","11480","11460","11670","14890","18100","22170","25430","30010","39480","48780","58130","67770","76590","78150","79610","81510","","","",
"","AFW","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218010","231260","239050","247670","256810","251710","250630","249960","250930","248020","250940","253200","261970","277080","284470","299570","301570","303450","306140","305760","315610","327790","336470","348150","356630","368640","383250","386400","392130","","","",
"Angola","AGO","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20610","21030","21470","21770","22180","22460","21360","21470","23130","22330","23000","24240","26220","29280","30260","31110","31180","33610","34160","35590","37730","38100","37110","37420","36700","37180","37400","37450","35520","","","",
"Albania","ALB","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","3600","3500","3560","4130","4120","3950","3750","3620","3690","3750","3690","3640","3680","3590","3580","3530","3400","3230","3110","3120","3120","3170","3190","3230","3250","3250","3210","3160","","","",
"Andorra","AND","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","30","30","30","30","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","","","",
"El mundo árabe","ARB","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270310","275890","285160","295600","306160","318120","329240","341370","352420","364640","376760","382970","395300","405880","417240","429040","434100","442550","447370","452990","456950","445680","436210","427240","418540","408120","417260","424580","433660","","","",
"Emiratos Árabes Unidos","ARE","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11690","12020","12350","12680","13040","14790","16550","18300","20060","21830","23580","25770","27970","30160","32330","34590","35390","36200","37010","37940","38550","40710","42870","45120","47360","49540","50680","51830","52960","","","",
"Argentina","ARG","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105850","105660","107470","106960","108430","108840","107260","107560","105750","108720","109870","109440","112740","119190","120420","120630","122760","123540","122470","117630","109830","109130","111740","113350","114180","114090","115580","117570","117850","","","",
