"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209670","209330","212110","211680","214300","214790","212410","210570","219470","215020","211260","210450","224400","229140","231320","239810","233690","249430","257080","256110","267280","272840","275740","274830","276360","279960","284380","286140","286710","","","",
"Afganistán","AFG","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3290","3200","3200","2990","3060","3290","3590","3880","4150","3620","3220","3700","3840","3810","3970","4060","4250","4790","5320","5990","6610","7160","7720","8550","8590","9120","9450","8960","","","",
"","AFW","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88780","92920","94800","97440","158000","159150","162380","164390","169940","170370","176820","171520","173450","180970","180320","188710","189080","189510","191720","189430","196050","201630","204520","210520","212830","218280","228580","229100","230890","","","",
"Angola","AGO","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15240","15270","15320","15270","15220","15210","13680","13440","14860","13740","14160","14500","15700","18000","18110","17820","16460","17620","16700","16790","17680","18270","17330","17900","17350","17950","18070","18490","16440","","","",
"Albania","ALB","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1590","1210","1130","1170","1370","1330","1190","1130","1170","1120","1180","1150","1290","1310","1270","1280","1220","1220","1140","1140","1130","1170","1180","1150","1170","1210","1250","1210","1100","","","",
"Andorra","AND","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"El mundo árabe","ARB","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74160","73020","73880","76960","77950","79790","83110","84430","88230","89550","95190","94960","98300","97600","101380","103400","103810","105960","105840","108420","107800","110440","111820","113600","113470","114330","115990","117040","118310","","","",
"Emiratos Árabes Unidos","ARE","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1560","1670","1780","1870","1980","2300","2620","2920","3230","3550","3850","3930","4070","4160","4230","4330","4540","4760","5010","5230","5430","5680","5900","6200","6470","6770","6890","7020","7140","","","",
"Argentina","ARG","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35510","35380","36100","35620","36630","36720","37020","37410","37040","37320","39450","39310","39890","43790","43980","43540","44930","47340","45970","40510","41650","42640","42120","43470","43850","43430","46380","48340","47930","","","",
"Armenia","ARM","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","830","750","650","580","570","570","560","540","520","530","540","630","610","660","640","950","790","780","840","790","820","970","1040","990","1090","1620","1220","1170","","","",
"Samoa Americana","ASM","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","30","30","30","30","30","20","20","20","20","20","20","20","20","20","","","",
"Australia","AUS","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77930","77010","76180","75990","75850","75720","69980","69010","73520","90540","98660","109130","102140","62120","85890","63080","82530","77640","62100","65750","54650","107800","107090","63530","75800","71960","57390","79440","76760","","","",
"Austria","AUT","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4900","4910","4700","4650","4600","4590","4690","4640","4630","4630","4590","4460","4350","4340","3790","3800","3770","3660","3790","3530","3520","3550","3590","3620","3670","3680","3700","3630","3620","","","",
